WARNING: Lost samples detected! See /home/abp/abp/GammaGames/20190417/GammaGames/oprofile_data/samples/operf.log for details.
CPU: Intel Silvermont microarchitecture, speed 2080 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 2080000
samples  %        app name                 symbol name
1         0.0295  main                     SoundSystem::SoundSystem()
1         0.0295  main                     SoundSystem::setListenerPosition(glm::vec<3, float, (glm::qualifier)0>)
1         0.0295  main                     TTransform::TTransform()
1         0.0295  main                     Texto2D::ChangeChar(float&, char const&)
1         0.0295  main                     Treecontroller::arbolsoldado()
1         0.0295  main                     Treecontroller::arbolswarm() [clone .cold.129]
1         0.0295  main                     Treecontroller::arboltank()
1         0.0295  main                     Treecontroller::createInverso(Behavior*) [clone .cold.124]
1         0.0295  main                     _GLOBAL__sub_I__ZN13SonidoImpactoC2Ev
1         0.0295  main                     ggDynWorld::clear()
1         0.0295  main                     stbi__jpeg_test
1         0.0295  main                     stbi_test_main
1         0.0295  main                     std::deque<TNodo*, std::allocator<TNodo*> >::_M_erase(std::_Deque_iterator<TNodo*, TNodo*&, TNodo**>)
1         0.0295  main                     void std::deque<unsigned char*, std::allocator<unsigned char*> >::_M_push_back_aux<unsigned char* const&>(unsigned char* const&)
