WARNING: Lost samples detected! See /home/abp/abp/GammaGames/20190417/GammaGames/oprofile_data/samples/operf.log for details.
CPU: Intel Silvermont microarchitecture, speed 2080 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 2080000
samples  %        symbol name
1         0.0333  Pathfinding::FindClosestNodeOfFace(glm::vec<3, float, (glm::qualifier)0> const&, unsigned short)
1         0.0333  Pathfinding::Pathfinding()
1         0.0333  Pathfinding::clear()
1         0.0333  TTransform::beginDraw()
1         0.0333  TTransform::endDraw()
1         0.0333  TTransform::getDatos()
1         0.0333  TTransform::inverse()
1         0.0333  TTransform::load(glm::mat<4, 4, float, (glm::qualifier)0>)
1         0.0333  TTransform::~TTransform()
1         0.0333  Treecontroller::arbolrusher() [clone .cold.131]
1         0.0333  Treecontroller::arboltank()
1         0.0333  Treecontroller::createParallel(Behavior*) [clone .cold.127]
1         0.0333  _GLOBAL__sub_I__ZN13SonidoImpactoC2Ev
1         0.0333  jo_processDU
1         0.0333  stbi__idct_simd
1         0.0333  stbi_write_tga_core
1         0.0333  std::_Rb_tree<unsigned char, std::pair<unsigned char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<unsigned char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<unsigned char>, std::allocator<std::pair<unsigned char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<unsigned char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, unsigned char const&)
1         0.0333  void std::vector<Behavior*, std::allocator<Behavior*> >::_M_realloc_insert<Behavior*>(__gnu_cxx::__normal_iterator<Behavior**, std::vector<Behavior*, std::allocator<Behavior*> > >, Behavior*&&)
